kappa,theta,sigma,rho,v0,r,T,k,price
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1,0.9500000000000002,0.16379610877855522
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1,1.0000000000000002,0.13127152186117974
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1,1.0500000000000003,0.10279196605932017
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1,1.1000000000000003,0.07858321263532125
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1,1.1500000000000004,0.05862608042237144
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1,1.2000000000000004,0.042676693329156246
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1,1.2500000000000004,0.030318276353634654
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1,1.3000000000000005,0.021028977139196714
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1,1.3500000000000005,0.01424991577935475
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1.5,0.8,0.3161435401117726
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1.5,0.8500000000000001,0.27666767450262963
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1.5,0.9000000000000001,0.2390033790577477
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1.5,0.9500000000000002,0.20362422573986982
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1.5,1.0000000000000002,0.17096649652097595
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1.5,1.0500000000000003,0.14138419425875082
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1.5,1.1000000000000003,0.11511432601069693
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1.5,1.1500000000000004,0.09225788959286707
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1.5,1.2000000000000004,0.07277832792970701
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1.5,1.2500000000000004,0.05651567688633463
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1.5,1.3000000000000005,0.04321209131595194
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,1.5,1.3500000000000005,0.03254329131711181
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,2,0.8,0.34959029851655454
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,2,0.8500000000000001,0.3117807353043781
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,2,0.9000000000000001,0.27542083677697493
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,2,0.9500000000000002,0.24086287479998691
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,2,1.0000000000000002,0.20843982891755097
2.0,0.02,0.1,-0.5,0.060000000000000005,0.1,2,1.0500000000000003,0.1784386253123621
